Jogador,TeamCity,Pontos,Ano
"James Harden",Houston,2132.000,2019
"Trae Young",Atlanta,1754.000,2019
"Giannis Antetokounmpo",Milwaukee,1698.000,2019
"Damian Lillard",Portland,1642.000,2019
"Bradley Beal",Washington,1639.000,2019
"Zach LaVine",Chicago,1623.000,2019
"Devin Booker",Phoenix,1550.000,2019
"Donovan Mitchell",Utah,1509.000,2019
"LeBron James","Los Angeles",1487.000,2019
"Luka Doncic",Dallas,1455.000,2019
"Russell Westbrook",Houston,1417.000,2019
"Anthony Davis","Los Angeles",1375.000,2019
"Brandon Ingram","New Orleans",1352.000,2019
"Jayson Tatum",Boston,1330.000,2019
"CJ McCollum",Portland,1328.000,2019
"DeMar DeRozan","San Antonio",1308.000,2019
"Kawhi Leonard",LA,1290.000,2019
"Buddy Hield",Sacramento,1278.000,2019
"Nikola Jokic",Denver,1276.000,2019
"Spencer Dinwiddie",Brooklyn,1271.000,2019
"Collin Sexton",Cleveland,1247.000,2019
"Tobias Harris",Philadelphia,1227.000,2019
"Shai Gilgeous-Alexander","Oklahoma City",1213.000,2019
"Bojan Bogdanovic",Utah,1209.000,2019
"Pascal Siakam",Toronto,1204.000,2019
"Julius Randle","New York",1182.000,2019
"Montrezl Harrell",LA,1150.000,2019
"Evan Fournier",Orlando,1146.000,2019
"Andrew Wiggins","Golden State",1141.000,2019
"Dennis Schroder","Oklahoma City",1134.000,2019
"Khris Middleton",Milwaukee,1122.000,2019
"Lou Williams",LA,1119.000,2019
"T.J. Warren",Indiana,1116.000,2019
"Devonte' Graham",Charlotte,1102.000,2019
"Domantas Sabonis",Indiana,1096.000,2019
"Terry Rozier",Charlotte,1092.000,2019
"Kelly Oubre Jr.",Phoenix,1084.000,2019
"Jimmy Butler",Miami,1066.000,2019
"Joel Embiid",Philadelphia,1057.000,2019
"Jrue Holiday","New Orleans",1033.000,2019
